roadwork_id,disruption_type,area,date_start,date_end,description,road_corridor
64,incident,Makiling,2025-01-08,2025-01-08,Stalled Truck,Maharlika_Turbina
65,incident,Real,2025-01-08,2025-01-08,Stalled Truck,Maharlika_Turbina
66,roadwork,Parian,2024-11-27,2024-11-27,Road excavation,Maharlika_Parian
67,incident,Turbina,2024-03-19,2024-03-19,Stalled Truck,Maharlika_Turbina
68,event,Crossing,2024-05-01,2024-05-01,Rally,Calamba_Pagsanjan
69,roadwork,Halang,2024-07-19,2024-07-19,CWD Work,Calamba_Pagsanjan
70,roadwork,Bucal,2024-07-26,2024-07-26,DPWH Work,Calamba_Pagsanjan
71,accident,Halang,2024-08-08,2024-08-08,Multiple vehicle collision,Calamba_Pagsanjan
72,roadwork,Pansol,2024-08-26,2024-08-26,Water line repair,Calamba_Pagsanjan
73,roadwork,Bucal,2024-07-29,2024-07-29,Road repair,Calamba_Pagsanjan
74,roadwork,Crossing,2024-09-11,2024-09-11,Reblocking,Calamba_Pagsanjan
75,accident,Bucal,2024-09-14,2024-09-14,Multiple vehicle collision,Calamba_Pagsanjan
76,roadwork,Crossing,2024-09-18,2024-09-18,Asphalt overlay,Calamba_Pagsanjan
77,roadwork,Pansol,2024-09-21,2024-09-21,Road excavation,Calamba_Pagsanjan
78,roadwork,Bucal,2024-09-24,2024-09-24,Road excavation,Calamba_Pagsanjan
79,incident,Milagrosa,2024-09-25,2024-09-25,Stalled Truck,Maharlika_Turbina
80,roadwork,Real,2024-09-25,2024-09-25,Asphalt overlay,Maharlika_Turbina
81,roadwork,Halang,2024-09-26,2024-09-26,Asphalt overlay,Calamba_Pagsanjan
81,roadwork,Bucal,2024-09-26,2024-09-26,Asphalt overlay,Calamba_Pagsanjan
82,roadwork,Real,2024-09-26,2024-09-26,rotomilling works,Maharlika_Turbina
83,roadwork,Real,2024-09-26,2024-09-26,rotomilling works,Maharlika_Turbina
84,event,Real,2024-09-29,2024-09-29,Charitie Ride,Maharlika_Turbina
85,accident,Real,2024-09-29,2024-09-29,Road Crash,Maharlika_Turbina
86,incident,Milagrosa,2024-10-01,2024-10-01,Stalled Truck,Maharlika_Turbina
87,roadwork,Bucal,2024-10-14,2024-10-14,Reblocking,Calamba_Pagsanjan
88,roadwork,Real,2024-10-09,2024-10-09,Road excavation,Maharlika_Turbina
89,roadwork,Milagrosa,2024-10-10,2024-10-10,Utility Works,Maharlika_Turbina
90,roadwork,Parian,2024-10-11,2024-10-11,Road realigning,Maharlika_Parian
91,roadwork,Parian,2024-10-15,2024-10-15,Line painting,Maharlika_Parian
92,roadwork,Bucal,2024-10-15,2024-10-15,road reblocking,Calamba_Pagsanjan
93,roadwork,Parian,2024-10-21,2024-10-21,Lane lining,Maharlika_Parian
94,weather,Pansol,2024-10-24,2024-10-24,Flood,Calamba_Pagsanjan
95,roadwork,Parian,2024-10-24,2024-10-24,Road Closure,Maharlika_Parian
96,roadwork,Bucal,2024-11-04,2024-11-04,road reblocking,Calamba_Pagsanjan
97,roadwork,Bucal,2024-11-05,2024-11-05,road reblocking,Calamba_Pagsanjan
98,incident,Turbina,2024-11-08,2024-11-08,Stalled Truck,Maharlika_Turbina
99,roadwork,Real,2024-11-08,2024-11-08,rotomilling works,Maharlika_Turbina
100,roadwork,Bucal,2024-11-19,2024-11-19,rotomilling works,Calamba_Pagsanjan
101,roadwork,Real,2024-11-21,2024-11-21,Stalled truck,Maharlika_Turbina
101,roadwork,Turbina,2024-11-21,2024-11-21,Stalled truck,Maharlika_Turbina
102,roadwork,Crossing,2024-12-30,2024-12-30,Market Goers,Calamba_Pagsanjan
103,roadwork,Crossing,2024-07-04,2025-01-29,Preventive Maintenance,Calamba_Pagsanjan
103,roadwork,Halang,2024-07-04,2025-01-29,Preventive Maintenance,Calamba_Pagsanjan
103,roadwork,Bucal,2024-07-04,2025-01-29,Preventive Maintenance,Calamba_Pagsanjan
103,roadwork,Pansol,2024-07-04,2025-01-29,Preventive Maintenance,Calamba_Pagsanjan
103,roadwork,Bagong Kalsada,2024-07-04,2025-01-29,Preventive Maintenance,Calamba_Pagsanjan
104,roadwork,Crossing,2025-01-03,2025-03-03,Asphalt overlay,Calamba_Pagsanjan
104,roadwork,Halang,2025-01-03,2025-03-03,Asphalt overlay,Calamba_Pagsanjan
104,roadwork,Bucal,2025-01-03,2025-03-03,Asphalt overlay,Calamba_Pagsanjan
104,roadwork,Pansol,2025-01-03,2025-03-03,Asphalt overlay,Calamba_Pagsanjan
104,roadwork,Bagong Kalsada,2025-01-03,2025-03-03,Asphalt overlay,Calamba_Pagsanjan
105,roadwork,Crossing,2025-02-14,2025-09-11,Preventive Maintenance,Calamba_Pagsanjan
105,roadwork,Halang,2025-02-14,2025-09-11,Preventive Maintenance,Calamba_Pagsanjan
105,roadwork,Bucal,2025-02-14,2025-09-11,Preventive Maintenance,Calamba_Pagsanjan
105,roadwork,Pansol,2025-02-14,2025-09-11,Preventive Maintenance,Calamba_Pagsanjan
105,roadwork,Bagong Kalsada,2025-02-14,2025-09-11,Preventive Maintenance,Calamba_Pagsanjan
106,roadwork,Real,2025-04-12,2025-09-20,Preventive Maintenance,Maharlika_Turbina
106,roadwork,Turbina,2025-04-12,2025-09-20,Preventive Maintenance,Maharlika_Turbina
106,roadwork,Milagrosa,2025-04-12,2025-09-20,Preventive Maintenance,Maharlika_Turbina
106,roadwork,Makiling,2025-04-12,2025-09-20,Preventive Maintenance,Maharlika_Turbina
106,roadwork,Checkpoint,2025-04-12,2025-09-20,Preventive Maintenance,Maharlika_Parian
106,roadwork,Parian,2025-04-12,2025-09-20,Preventive Maintenance,Maharlika_Parian
107,roadwork,Real,2025-01-03,2025-01-24,Preventive Maintenance,Maharlika_Turbina
107,roadwork,Turbina,2025-01-03,2025-01-24,Preventive Maintenance,Maharlika_Turbina
107,roadwork,Milagrosa,2025-01-03,2025-01-24,Preventive Maintenance,Maharlika_Turbina
107,roadwork,Makiling,2025-01-03,2025-01-24,Preventive Maintenance,Maharlika_Turbina
107,roadwork,Checkpoint,2025-01-03,2025-01-24,Preventive Maintenance,Maharlika_Parian
107,roadwork,Parian,2025-01-03,2025-01-24,Preventive Maintenance,Maharlika_Parian
108,roadwork,Makiling,2023-12-01,2024-06-27,Concreting of Road,Maharlika_Turbina
110,roadwork,Bagong Kalsada,2024-11-27,2024-12-12,Asphalting of Road,Calamba_Pagsanjan
111,roadwork,Real,2024-12-09,2025-03-08,Concreting of Road,Maharlika_Turbina
