date,hour,area,status,latitude,longitude,data_source,road_corridor,location,direction,lane,day_of_week,has_disruption,disruption_type,disruption_description,month,day_of_month,is_weekend,time_category,status_encoded,is_rush_hour,is_peak_am,is_peak_pm,is_holiday,avg_volume,total_volume,volume_count,status_lag_1h,status_lag_2h,status_lag_3h,status_lag_24h,volume_rolling_avg_3h,volume_rolling_avg_6h,volume_rolling_avg_24h
2024-01-01,6,Bucal,light,14.1894221,121.1691458,Imputed,Calamba_Pagsanjan,,,0.0,Monday,0,none,,1,1,0,morning_rush,0,1,0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,7,Bucal,moderate,14.1894221,121.1691458,Imputed,Calamba_Pagsanjan,,,0.0,Monday,0,none,,1,1,0,morning_rush,1,1,0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,8,Bucal,light,14.1894221,121.1691458,Imputed,Calamba_Pagsanjan,,,0.0,Monday,0,none,,1,1,0,morning_rush,0,1,0,0,1,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,9,Bucal,light,14.1894221,121.1691458,Imputed,Calamba_Pagsanjan,,,0.0,Monday,0,none,,1,1,0,morning,0,0,0,0,1,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,10,Bucal,light,14.1894221,121.1691458,Imputed,Calamba_Pagsanjan,,,0.0,Monday,0,none,,1,1,0,morning,0,0,0,0,1,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2024-01-01,11,Bucal,light,14.1894221,121.1691458,Imputed,Calamba_Pagsanjan,,,0.0,Monday,0,none,,1,1,0,morning,0,0,0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,12,Bucal,light,14.1894221,121.1691458,Imputed,Calamba_Pagsanjan,,,0.0,Monday,0,none,,1,1,0,lunch,0,0,0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,13,Bucal,light,14.1894221,121.1691458,Imputed,Calamba_Pagsanjan,,,0.0,Monday,0,none,,1,1,0,lunch,0,0,0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,14,Bucal,light,14.1894221,121.1691458,Imputed,Calamba_Pagsanjan,,,0.0,Monday,0,none,,1,1,0,afternoon,0,0,0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,15,Bucal,light,14.1894221,121.1691458,Imputed,Calamba_Pagsanjan,,,0.0,Monday,0,none,,1,1,0,afternoon,0,0,0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,16,Bucal,light,14.1894221,121.1691458,Imputed,Calamba_Pagsanjan,,,0.0,Monday,0,none,,1,1,0,afternoon,0,0,0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,17,Bucal,heavy,14.1894221,121.1691458,Real,Calamba_Pagsanjan,,,0.0,Monday,0,none,,1,1,0,evening_rush,2,1,0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,18,Bucal,heavy,14.1894221,121.1691458,Real,Calamba_Pagsanjan,,,0.0,Monday,0,none,,1,1,0,evening_rush,2,1,0,0,1,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,19,Bucal,heavy,14.1894221,121.1691458,Real,Calamba_Pagsanjan,,,0.0,Monday,0,none,,1,1,0,evening_rush,2,1,0,0,1,0.0,0.0,0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,20,Bucal,light,14.1894221,121.1691458,Imputed,Calamba_Pagsanjan,,,0.0,Monday,0,none,,1,1,0,night,0,0,0,0,1,0.0,0.0,0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
2024-01-01,21,Bucal,light,14.1894221,121.1691458,Imputed,Calamba_Pagsanjan,,,0.0,Monday,0,none,,1,1,0,night,0,0,0,0,1,0.0,0.0,0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
2024-01-02,6,Bucal,light,14.1894221,121.1691458,Imputed,Calamba_Pagsanjan,,,0.0,Tuesday,0,none,,1,2,0,morning_rush,0,1,0,0,0,0.0,0.0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2024-01-02,7,Bucal,light,14.1894221,121.1691458,Imputed,Calamba_Pagsanjan,,,0.0,Tuesday,0,none,,1,2,0,morning_rush,0,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-02,8,Bucal,moderate,14.1894221,121.1691458,Imputed,Calamba_Pagsanjan,,,0.0,Tuesday,0,none,,1,2,0,morning_rush,1,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
